feature_id,distance,odometer,joint_number,relative_position,angle,feature_type,depth_percent,length,width,wall_thickness,weld_type,elevation,j_len
C-540,1406.04,1406.04,540.0,6.75,277.5,Cluster,0.1,5.17,8.04,0.344,,,39.94
C-540,1406.96,1406.96,540.0,7.67,251.5,Cluster,0.1,17.59,13.24,0.344,,,39.94
C-540,1408.53,1408.53,540.0,9.24,259.5,Cluster,0.1,9.12,11.21,0.344,,,39.94
C-540,1409.15,1409.15,540.0,9.86,65.0,Cluster,0.1,6.43,5.91,0.344,,,39.94
C-540,1412.54,1412.54,540.0,13.25,265.5,Cluster,0.11,18.37,11.52,0.344,,,39.94
C-540,1415.09,1415.09,540.0,15.8,65.0,Cluster,0.1,4.85,6.79,0.344,,,39.94
ML-540,1419.21,1419.21,540.0,19.92,371.0,metal loss,0.1,0.67,0.71,0.344,,,39.94
C-540,1419.48,1419.48,540.0,20.2,254.5,Cluster,0.12,33.85,14.64,0.344,,,39.94
C-540,1423.37,1423.37,540.0,24.08,56.5,Cluster,0.1,6.65,6.49,0.344,,,39.94
C-540,1424.4,1424.4,540.0,25.11,261.0,Cluster,0.11,37.4,13.43,0.344,,,39.94
C-540,1425.43,1425.43,540.0,26.15,68.5,Cluster,0.14,12.29,7.46,0.344,,,39.94
C-540,1428.94,1428.94,540.0,29.65,57.0,Cluster,0.1,6.01,8.48,0.344,,,39.94
C-540,1429.49,1429.49,540.0,30.2,54.5,Cluster,0.12,7.54,8.63,0.344,,,39.94
C-540,1430.91,1430.91,540.0,31.62,64.5,Cluster,0.1,3.85,6.58,0.344,,,39.94
C-540,1432.34,1432.34,540.0,33.05,52.0,Cluster,0.1,12.38,12.38,0.344,,,39.94
ML-540,1433.32,1433.32,540.0,34.03,350.5,metal loss-manufacturing anomaly,0.12,0.63,0.71,0.344,,,39.94
C-540,1435.54,1435.54,540.0,36.25,58.0,Cluster,0.1,5.23,9.59,0.344,,,39.94
C-540,1438.5,1438.5,540.0,39.21,55.5,Cluster,0.1,6.94,7.96,0.344,,,39.94
C-540,1438.75,1438.75,540.0,39.46,241.5,Cluster,0.17,6.48,15.12,0.344,,,39.94
C-550,1439.24,1439.24,550.0,0.01,275.5,Cluster,0.12,5.89,7.73,0.344,,,35.05
C-550,1439.25,1439.25,550.0,0.02,66.0,Cluster,0.1,4.03,5.74,0.344,,,35.05
C-550,1448.43,1448.43,550.0,9.19,229.0,Cluster,0.1,1.15,3.46,0.344,,,35.05
C-550,1454.64,1454.64,550.0,15.41,276.0,Cluster,0.11,3.89,10.58,0.344,,,35.05
C-550,1458.54,1458.54,550.0,19.3,298.5,Cluster,0.1,0.62,1.8,0.344,,,35.05
C-550,1461.84,1461.84,550.0,22.61,283.5,Cluster,0.11,8.21,8.67,0.344,,,35.05
C-550,1462.59,1462.59,550.0,23.36,264.5,Cluster,0.1,11.21,11.42,0.344,,,35.05
C-550,1463.37,1463.37,550.0,24.14,32.0,Cluster,0.1,19.98,11.21,0.344,,,35.05
C-550,1464.89,1464.89,550.0,25.66,32.0,Cluster,0.1,13.72,11.71,0.344,,,35.05
C-550,1466.02,1466.02,550.0,26.78,271.5,Cluster,0.1,21.9,12.67,0.344,,,35.05
C-550,1466.43,1466.43,550.0,27.2,34.5,Cluster,0.1,10.44,10.05,0.344,,,35.05
C-550,1473.88,1473.88,550.0,34.64,43.0,Cluster,0.1,5.68,10.33,0.344,,,35.05
C-560,1477.89,1477.89,560.0,3.61,271.5,Cluster,0.11,34.78,13.8,0.344,,,39.99
ML-560,1481.13,1481.13,560.0,6.85,101.5,metal loss,0.1,0.59,0.55,0.344,,,39.99
C-560,1481.25,1481.25,560.0,6.97,32.0,Cluster,0.1,5.84,12.13,0.344,,,39.99
ML-560,1488.59,1488.59,560.0,14.31,279.5,metal loss,0.1,0.51,0.63,0.344,,,39.99
C-560,1494.04,1494.04,560.0,19.76,266.0,Cluster,0.11,20.58,12.23,0.344,,,39.99
C-560,1507.88,1507.88,560.0,33.6,37.0,Cluster,0.1,7.0,7.88,0.344,,,39.99
C-560,1510.97,1510.97,560.0,36.69,53.0,Cluster,0.11,4.04,6.24,0.344,,,39.99
C-560,1512.3,1512.3,560.0,38.02,291.5,Cluster,0.1,4.52,6.97,0.344,,,39.99
C-570,1517.65,1517.65,570.0,3.38,46.5,Cluster,0.1,12.73,8.61,0.344,,,40.03
C-570,1518.41,1518.41,570.0,4.14,31.0,Cluster,0.1,10.87,6.7,0.344,,,40.03
C-570,1542.43,1542.43,570.0,28.16,53.5,Cluster,0.1,6.01,5.8,0.344,,,40.03
C-570,1553.88,1553.88,570.0,39.61,305.5,Cluster,0.1,4.56,8.27,0.344,,,40.03
ML-580,1560.05,1560.05,580.0,5.75,298.0,metal loss,0.11,0.75,0.55,0.344,,,39.99
C-580,1563.79,1563.79,580.0,9.49,313.0,Cluster,0.1,10.93,6.66,0.344,,,39.99
C-580,1571.84,1571.84,580.0,17.53,320.0,Cluster,0.11,4.52,3.33,0.344,,,39.99
C-580,1575.87,1575.87,580.0,21.56,317.5,Cluster,0.15,7.39,6.91,0.344,,,39.99
C-580,1582.01,1582.01,580.0,27.71,318.5,Cluster,0.1,3.26,4.34,0.344,,,39.99
C-580,1584.15,1584.15,580.0,29.84,317.5,Cluster,0.14,3.89,3.14,0.344,,,39.99
C-580,1584.61,1584.61,580.0,30.3,318.5,Cluster,0.11,13.44,6.97,0.344,,,39.99
C-580,1587.53,1587.53,580.0,33.22,307.0,Cluster,0.1,4.07,6.97,0.344,,,39.99
C-580,1593.8,1593.8,580.0,39.49,273.0,Cluster,0.1,5.5,16.65,0.344,,,39.99
C-590,1595.0,1595.0,590.0,0.7,250.5,Cluster,0.14,5.1,20.55,0.344,,,40.11
ML-590,1595.1,1595.1,590.0,0.81,208.5,metal loss,0.2,1.18,6.34,0.344,,,40.11
ML-590,1609.99,1609.99,590.0,15.69,372.0,metal loss,0.1,0.67,0.59,0.344,,,40.11
C-590,1628.77,1628.77,590.0,34.48,314.5,Cluster,0.11,0.8,2.12,0.344,,,40.11
C-590,1634.38,1634.38,590.0,40.09,297.0,Cluster,0.1,5.09,11.1,0.344,,,40.11
C-600,1634.41,1634.41,600.0,0.01,368.0,Cluster,0.1,6.9,26.12,0.344,,,40.11
C-600,1635.31,1635.31,600.0,0.91,369.5,Cluster,0.11,4.88,22.14,0.344,,,40.11
C-600,1673.93,1673.93,600.0,39.52,283.5,Cluster,0.11,6.3,11.71,0.344,,,40.11
C-600,1674.51,1674.51,600.0,40.11,293.5,Cluster,0.1,5.08,12.73,0.344,,,40.11
C-610,1696.83,1696.83,610.0,22.33,370.0,Cluster,0.11,0.92,2.85,0.344,,,40.0
C-610,1714.09,1714.09,610.0,39.58,296.0,Cluster,0.11,5.06,11.94,0.344,,,40.0
C-630,1790.51,1790.51,630.0,36.06,333.5,Cluster,0.1,2.77,2.26,0.344,,,39.97
ML-720,2104.45,2104.45,720.0,4.02,359.5,metal loss,0.13,0.51,0.59,0.344,,,40.03
C-720,2112.13,2112.13,720.0,11.71,357.0,Cluster,0.1,2.84,2.81,0.344,,,40.03
ML-720,2113.52,2113.52,720.0,13.09,201.0,metal loss,0.14,0.79,0.71,0.344,,,40.03
ML-720,2114.25,2114.25,720.0,13.82,333.0,metal loss,0.1,1.34,0.79,0.344,,,40.03
C-720,2118.73,2118.73,720.0,18.3,184.5,Cluster,0.13,2.03,3.02,0.344,,,40.03
ML-720,2120.53,2120.53,720.0,20.1,384.5,metal loss,0.1,0.35,0.71,0.344,,,40.03
C-720,2121.87,2121.87,720.0,21.44,382.0,Cluster,0.11,2.93,4.88,0.344,,,40.03
ML-720,2123.05,2123.05,720.0,22.62,148.0,metal loss,0.12,0.75,0.83,0.344,,,40.03
ML-720,2124.09,2124.09,720.0,23.67,160.5,metal loss,0.1,0.71,0.71,0.344,,,40.03
ML-720,2126.34,2126.34,720.0,25.92,181.5,metal loss,0.11,0.79,1.14,0.344,,,40.03
C-720,2126.98,2126.98,720.0,26.56,183.0,Cluster,0.22,1.81,2.98,0.344,,,40.03
C-720,2127.06,2127.06,720.0,26.63,209.0,Cluster,0.11,2.38,2.05,0.344,,,40.03
ML-720,2136.49,2136.49,720.0,36.07,360.0,metal loss,0.15,0.75,0.71,0.344,,,40.03
C-720,2137.77,2137.77,720.0,37.34,338.5,Cluster,0.12,4.24,4.38,0.344,,,40.03
ML-720,2139.38,2139.38,720.0,38.96,358.5,metal loss,0.11,0.43,0.71,0.344,,,40.03
ML-720,2140.31,2140.31,720.0,39.88,143.5,metal loss,0.12,0.67,0.71,0.344,,,40.03
C-730,2146.34,2146.34,730.0,5.88,359.5,Cluster,0.1,1.81,1.4,0.344,,,40.04
ML-730,2148.19,2148.19,730.0,7.73,168.0,metal loss,0.19,0.79,0.55,0.344,,,40.04
ML-730,2150.44,2150.44,730.0,9.98,218.0,metal loss,0.1,0.71,0.71,0.344,,,40.04
ML-730,2153.51,2153.51,730.0,13.06,199.5,metal loss,0.15,0.91,0.91,0.344,,,40.04
ML-730,2157.49,2157.49,730.0,17.03,209.0,metal loss,0.25,0.71,0.63,0.344,,,40.04
ML-730,2159.58,2159.58,730.0,19.12,352.0,metal loss,0.1,1.26,1.06,0.344,,,40.04
ML-730,2161.08,2161.08,730.0,20.62,200.0,metal loss,0.17,0.63,0.55,0.344,,,40.04
ML-730,2174.62,2174.62,730.0,34.16,195.5,metal loss,0.12,0.87,0.91,0.344,,,40.04
ML-730,2176.77,2176.77,730.0,36.31,362.0,metal loss,0.14,0.59,0.79,0.344,,,40.04
ML-730,2179.28,2179.28,730.0,38.82,137.0,metal loss,0.1,0.59,0.71,0.344,,,40.04
C-730,2179.45,2179.45,730.0,38.99,152.0,Cluster,0.11,2.76,4.38,0.344,,,40.04
ML-740,2181.73,2181.73,740.0,1.23,158.5,metal loss,0.12,1.61,0.83,0.344,,,40.07
ML-740,2184.26,2184.26,740.0,3.76,365.5,metal loss,0.1,0.51,0.71,0.344,,,40.07
ML-740,2192.61,2192.61,740.0,12.11,219.0,metal loss,0.12,0.59,0.71,0.344,,,40.07
ML-740,2194.13,2194.13,740.0,13.63,359.0,metal loss,0.11,0.71,0.59,0.344,,,40.07
ML-740,2218.72,2218.72,740.0,38.22,156.5,metal loss,0.12,0.98,0.71,0.344,,,40.07
C-740,2220.24,2220.24,740.0,39.74,161.5,Cluster,0.16,3.12,2.77,0.344,,,40.07
ML-740,2220.24,2220.24,740.0,39.74,189.5,metal loss,0.11,0.91,0.59,0.344,,,40.07
ML-750,2222.85,2222.85,750.0,2.29,217.5,metal loss,0.15,0.55,0.71,0.344,,,39.82
ML-750,2226.67,2226.67,750.0,6.11,215.0,metal loss,0.1,0.59,0.71,0.344,,,39.82
ML-750,2226.72,2226.72,750.0,6.15,192.0,metal loss,0.1,0.91,0.63,0.344,,,39.82
ML-750,2227.98,2227.98,750.0,7.41,220.0,metal loss,0.12,0.63,0.71,0.344,,,39.82
ML-750,2228.8,2228.8,750.0,8.24,193.5,metal loss,0.1,0.71,0.71,0.344,,,39.82
ML-750,2233.04,2233.04,750.0,12.48,192.0,metal loss,0.13,0.79,0.94,0.344,,,39.82
C-750,2233.17,2233.17,750.0,12.61,148.5,Cluster,0.11,1.76,1.11,0.344,,,39.82
C-750,2234.36,2234.36,750.0,13.8,226.5,Cluster,0.11,2.12,0.73,0.344,,,39.82
ML-750,2234.69,2234.69,750.0,14.13,157.0,metal loss,0.12,0.63,0.71,0.344,,,39.82
ML-750,2235.25,2235.25,750.0,14.68,191.5,metal loss,0.1,1.1,0.83,0.344,,,39.82
C-750,2238.9,2238.9,750.0,18.33,159.5,Cluster,0.15,2.34,1.11,0.344,,,39.82
ML-750,2241.2,2241.2,750.0,20.64,149.5,metal loss,0.15,0.67,0.71,0.344,,,39.82
ML-750,2241.84,2241.84,750.0,21.28,163.0,metal loss,0.12,0.59,0.71,0.344,,,39.82
ML-750,2243.92,2243.92,750.0,23.35,190.5,metal loss,0.17,0.71,0.71,0.344,,,39.82
ML-750,2244.89,2244.89,750.0,24.32,185.5,metal loss,0.11,0.75,0.63,0.344,,,39.82
ML-750,2247.01,2247.01,750.0,26.45,165.5,metal loss,0.17,0.87,0.71,0.344,,,39.82
ML-750,2248.76,2248.76,750.0,28.19,193.0,metal loss,0.16,0.63,0.59,0.344,,,39.82
ML-750,2249.29,2249.29,750.0,28.72,180.5,metal loss,0.1,0.71,0.71,0.344,,,39.82
ML-750,2249.5,2249.5,750.0,28.93,194.0,metal loss,0.11,0.71,0.71,0.344,,,39.82
ML-750,2253.91,2253.91,750.0,33.35,161.5,metal loss,0.13,0.47,0.71,0.344,,,39.82
C-750,2255.76,2255.76,750.0,35.19,162.5,Cluster,0.18,1.94,0.69,0.344,,,39.82
ML-750,2257.41,2257.41,750.0,36.84,192.5,metal loss,0.13,0.79,0.67,0.344,,,39.82
C-750,2258.13,2258.13,750.0,37.56,147.5,Cluster,0.11,4.56,3.83,0.344,,,39.82
C-750,2260.11,2260.11,750.0,39.55,166.0,Cluster,0.15,3.11,3.31,0.344,,,39.82
C-760,2260.47,2260.47,760.0,0.08,167.5,Cluster,0.13,1.57,4.48,0.344,,,40.06
ML-760,2262.01,2262.01,760.0,1.62,213.5,metal loss,0.1,0.67,0.71,0.344,,,40.06
C-760,2263.98,2263.98,760.0,3.59,178.5,Cluster,0.13,1.66,0.69,0.344,,,40.06
ML-760,2266.01,2266.01,760.0,5.62,353.5,metal loss,0.1,0.47,0.71,0.344,,,40.06
ML-760,2267.26,2267.26,760.0,6.88,181.5,metal loss,0.1,0.79,0.59,0.344,,,40.06
ML-760,2268.51,2268.51,760.0,8.13,162.5,metal loss,0.12,0.55,0.71,0.344,,,40.06
C-760,2270.99,2270.99,760.0,10.6,193.5,Cluster,0.1,1.86,1.43,0.344,,,40.06
C-760,2290.43,2290.43,760.0,30.04,165.0,Cluster,0.1,3.88,0.71,0.344,,,40.06
C-760,2290.98,2290.98,760.0,30.6,171.0,Cluster,0.12,1.62,3.27,0.344,,,40.06
C-760,2300.05,2300.05,760.0,39.67,176.0,Cluster,0.15,4.56,4.34,0.344,,,40.06
C-760,2300.12,2300.12,760.0,39.74,114.5,Cluster,0.16,4.03,8.09,0.344,,,40.06
ML-770,2302.29,2302.29,770.0,1.84,173.5,metal loss,0.13,0.67,0.71,0.344,,,10.39
ML-770,2310.0,2310.0,770.0,9.55,184.5,metal loss,0.1,1.02,0.87,0.344,,,10.39
ML-770,2310.53,2310.53,770.0,10.08,181.5,metal loss,0.14,0.98,0.87,0.344,,,10.39
C-800,2368.29,2368.29,800.0,2.37,170.0,Cluster,0.13,5.62,5.97,0.344,,,23.8
ML-960,2982.66,2982.66,960.0,32.93,330.5,metal loss,0.1,0.51,0.71,0.344,,,39.94
C-970,2991.42,2991.42,970.0,1.76,288.5,Cluster,0.12,0.77,1.72,0.344,,,39.79
ML-970,2991.61,2991.61,970.0,1.94,291.0,metal loss,0.13,0.55,0.55,0.344,,,39.79
C-970,2993.61,2993.61,970.0,3.94,285.0,Cluster,0.1,1.58,1.36,0.344,,,39.79
C-970,2993.91,2993.91,970.0,4.24,68.0,Cluster,0.12,1.63,0.67,0.344,,,39.79
C-970,2994.5,2994.5,970.0,4.83,278.5,Cluster,0.1,4.84,2.81,0.344,,,39.79
ML-970,3002.07,3002.07,970.0,12.41,255.0,metal loss,0.1,0.51,0.55,0.344,,,39.79
ML-970,3002.24,3002.24,970.0,12.57,254.5,metal loss,0.11,0.67,0.71,0.344,,,39.79
ML-970,3018.05,3018.05,970.0,28.38,94.5,metal loss,0.1,0.63,0.63,0.344,,,39.79
C-970,3019.88,3019.88,970.0,30.21,255.5,Cluster,0.1,1.76,1.24,0.344,,,39.79
C-980,3051.05,3051.05,980.0,21.59,137.5,Cluster,0.1,4.02,0.71,0.344,,,39.99
C-980,3054.83,3054.83,980.0,25.37,129.0,Cluster,0.1,3.74,1.05,0.344,,,39.99
ML-980,3055.25,3055.25,980.0,25.79,131.0,metal loss,0.11,0.67,0.71,0.344,,,39.99
C-980,3056.51,3056.51,980.0,27.05,128.5,Cluster,0.11,3.52,0.69,0.344,,,39.99
C-980,3056.8,3056.8,980.0,27.34,218.5,Cluster,0.11,4.99,3.83,0.344,,,39.99
C-980,3057.87,3057.87,980.0,28.41,126.0,Cluster,0.11,3.41,1.2,0.344,,,39.99
ML-980,3058.36,3058.36,980.0,28.89,128.5,metal loss,0.12,0.71,0.55,0.344,,,39.99
C-980,3058.57,3058.57,980.0,29.11,118.5,Cluster,0.11,6.88,2.77,0.344,,,39.99
C-980,3059.08,3059.08,980.0,29.62,219.0,Cluster,0.11,9.0,3.37,0.344,,,39.99
ML-980,3059.27,3059.27,980.0,29.81,127.0,metal loss,0.1,0.91,0.71,0.344,,,39.99
C-980,3059.76,3059.76,980.0,30.3,113.5,Cluster,0.11,13.36,5.59,0.344,,,39.99
C-980,3059.92,3059.92,980.0,30.45,219.0,Cluster,0.11,7.37,3.88,0.344,,,39.99
C-980,3060.69,3060.69,980.0,31.23,231.0,Cluster,0.15,7.08,1.34,0.344,,,39.99
C-980,3061.38,3061.38,980.0,31.92,229.5,Cluster,0.15,11.11,2.28,0.344,,,39.99
C-980,3061.47,3061.47,980.0,32.01,119.5,Cluster,0.15,4.7,5.41,0.344,,,39.99
C-980,3061.97,3061.97,980.0,32.51,108.5,Cluster,0.1,6.55,5.03,0.344,,,39.99
C-980,3062.41,3062.41,980.0,32.95,227.0,Cluster,0.13,5.17,3.33,0.344,,,39.99
C-980,3063.09,3063.09,980.0,33.63,229.5,Cluster,0.11,5.63,3.44,0.344,,,39.99
C-980,3063.55,3063.55,980.0,34.09,113.0,Cluster,0.11,4.67,2.98,0.344,,,39.99
C-980,3069.07,3069.07,980.0,39.61,248.5,Cluster,0.12,4.69,5.59,0.344,,,39.99
ML-1050,3347.22,3347.22,1050.0,39.24,114.0,metal loss,0.14,1.18,2.24,0.344,,,40.12
ML-1050,3347.3,3347.3,1050.0,39.32,224.5,metal loss,0.11,0.71,0.94,0.344,,,40.12
C-1070,3406.04,3406.04,1070.0,17.89,166.0,Cluster,0.18,2.56,2.85,0.344,,,40.01
ML-1070,3427.3,3427.3,1070.0,39.15,232.5,metal loss,0.12,0.87,1.93,0.344,,,40.01
ML-1360,4530.89,4530.89,1360.0,0.81,125.5,metal loss,0.15,1.02,2.32,0.344,,,40.06
C-1370,4609.09,4609.09,1370.0,38.94,188.0,Cluster,0.17,3.47,6.35,0.344,,,40.03
ML-1480,5024.29,5024.29,1480.0,26.58,111.5,metal loss-manufacturing anomaly,0.15,0.67,0.55,0.344,,,36.5
C-1550,5292.54,5292.54,1550.0,28.9,187.0,Cluster,0.14,2.69,2.22,0.344,,,39.88
C-1550,5294.02,5294.02,1550.0,30.37,179.5,Cluster,0.12,1.72,0.69,0.344,,,39.88
C-1560,5342.18,5342.18,1560.0,38.65,99.0,Cluster,0.43,6.68,36.53,0.344,,,40.03
C-1570,5344.35,5344.35,1570.0,0.79,290.5,Cluster,0.16,2.0,12.63,0.344,,,40.11
C-1570,5344.55,5344.55,1570.0,0.99,76.5,Cluster,0.16,1.02,3.67,0.344,,,40.11
C-1570,5361.13,5361.13,1570.0,17.57,190.0,Cluster,0.21,4.13,6.03,0.344,,,40.11
ML-1570,5361.85,5361.85,1570.0,18.29,183.0,metal loss,0.15,0.94,0.55,0.344,,,40.11
ML-1570,5361.96,5361.96,1570.0,18.4,200.0,metal loss,0.29,1.73,1.14,0.344,,,40.11
C-1570,5362.03,5362.03,1570.0,18.47,219.0,Cluster,0.54,4.21,2.14,0.344,,,40.11
C-1570,5362.14,5362.14,1570.0,18.58,139.5,Cluster,0.28,4.5,2.77,0.344,,,40.11
C-1570,5362.5,5362.5,1570.0,18.94,210.5,Cluster,0.4,4.68,5.72,0.344,,,40.11
C-1570,5362.62,5362.62,1570.0,19.06,145.0,Cluster,0.13,2.05,2.33,0.344,,,40.11
ML-1570,5363.02,5363.02,1570.0,19.46,133.0,metal loss,0.32,3.31,1.65,0.344,,,40.11
C-1570,5363.15,5363.15,1570.0,19.59,203.0,Cluster,0.19,3.37,8.23,0.344,,,40.11
C-1570,5363.59,5363.59,1570.0,20.03,130.5,Cluster,0.37,1.91,2.2,0.344,,,40.11
C-1570,5364.59,5364.59,1570.0,21.03,132.5,Cluster,0.35,2.35,2.12,0.344,,,40.11
C-1570,5365.07,5365.07,1570.0,21.51,131.5,Cluster,0.22,4.85,2.56,0.344,,,40.11
C-1570,5365.72,5365.72,1570.0,22.16,167.0,Cluster,0.59,14.66,17.01,0.344,,,40.11
